DATE,Company,Sentiment,Positive,Negative,Neutral
2022-08-01,Vodafone Idea,0.3182,0.108,0.0,0.892
2022-08-01,Bharti airtel limited ,0.296,0.121,0.0,0.879
2022-08-01,Verizon Communications,0.0,0.0,0.0,1.0
2022-08-01,Reliance jio,0.2023,0.13,0.0,0.87
2022-08-02,T - Mobile US,0.1531,0.168,0.139,0.693
2022-08-02,Verizon Communications,0.34,0.146,0.0,0.854
2022-08-03,T - Mobile US,-0.5574,0.0,0.315,0.685
2022-08-04,Vodafone Idea,-0.5106,0.0,0.268,0.732
2022-08-05,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-08-06,Verizon Communications,-0.4588,0.134,0.317,0.549
2022-08-08,Verizon Communications,0.0,0.0,0.0,1.0
2022-08-08,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-08-09,T - Mobile US,0.2023,0.184,0.0,0.816
2022-08-09,Reliance jio,0.14579999999999999,0.1055,0.065,0.8295
2022-08-09,Vodafone Idea,0.0,0.0,0.0,1.0
2022-08-09,Verizon Communications,0.0,0.0,0.0,1.0
2022-08-09,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-08-11,Vodafone Idea,0.0,0.0,0.0,1.0
2022-08-11,Verizon Communications,-0.6808,0.0,0.337,0.663
2022-08-12,Reliance jio,0.0,0.0,0.0,1.0
2022-08-15,Reliance jio,0.0,0.0,0.0,1.0
2022-08-17,Bharti airtel limited ,0.3818,0.133,0.0,0.867
2022-08-18,Verizon Communications,0.3818,0.206,0.0,0.794
2022-08-18,Reliance jio,0.0,0.0,0.0,1.0
2022-08-19,Vodafone Idea,0.0772,0.091,0.0,0.909
2022-08-22,Reliance jio,0.4019,0.144,0.0,0.856
2022-08-22,Vodafone Idea,0.0,0.0,0.0,1.0
2022-08-23,Reliance jio,0.0,0.0,0.0,1.0
2022-08-24,Vodafone Idea,0.20095,0.092,0.0,0.9079999999999999
2022-08-24,T - Mobile US,0.4215,0.359,0.0,0.641
2022-08-24,Verizon Communications,-0.4404,0.0,0.172,0.828
2022-08-25,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-08-25,T - Mobile US,0.0,0.0,0.0,1.0
2022-08-25,Reliance jio,0.3818,0.14,0.0,0.86
2022-08-26,T - Mobile US,0.5106,0.216,0.0,0.784
2022-08-26,Reliance jio,0.0,0.0,0.0,1.0
2022-08-26,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-08-26,Vodafone Idea,0.2023,0.076,0.0,0.924
2022-08-27,Verizon Communications,0.0,0.0,0.0,1.0
2022-08-27,T - Mobile US,0.24695,0.148,0.0,0.852
2022-08-28,Reliance jio,0.0,0.0,0.0,1.0
2022-08-29,Vodafone Idea,-0.4215,0.0,0.157,0.843
2022-08-29,Reliance jio,0.0,0.0,0.0,1.0
2022-08-30,Reliance jio,0.4019,0.144,0.0,0.856
2022-08-30,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-08-31,Vodafone Idea,-0.128,0.0,0.103,0.897
2022-08-31,T - Mobile US,0.0,0.0,0.0,1.0
2022-09-01,Bharti airtel limited ,-0.3818,0.0,0.133,0.867
2022-09-02,T - Mobile US,0.0,0.0,0.0,1.0
2022-09-03,Reliance jio,0.2023,0.076,0.0,0.924
2022-09-03,Vodafone Idea,0.0,0.0,0.0,1.0
2022-09-05,Bharti airtel limited ,0.296,0.128,0.0,0.872
2022-09-06,Verizon Communications,0.2263,0.16,0.0,0.84
2022-09-07,Verizon Communications,-0.0516,0.112,0.124,0.765
2022-09-08,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-09-08,T - Mobile US,0.2202,0.0975,0.0,0.9025000000000001
2022-09-09,Reliance jio,0.0,0.0,0.0,1.0
2022-09-09,T - Mobile US,0.34,0.167,0.0,0.833
2022-09-11,T - Mobile US,-0.4404,0.0,0.244,0.756
2022-09-12,Verizon Communications,0.1806,0.1205,0.069,0.8105
2022-09-12,Vodafone Idea,0.0,0.0,0.0,1.0
2022-09-12,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-09-14,Verizon Communications,0.0,0.0,0.0,1.0
2022-09-14,Bharti airtel limited ,0.4019,0.162,0.0,0.838
2022-09-15,Vodafone Idea,0.0,0.0,0.0,1.0
2022-09-15,Verizon Communications,0.0,0.21,0.21,0.58
2022-09-15,Reliance jio,-0.3182,0.0,0.119,0.881
2022-09-16,Reliance jio,0.3818,0.133,0.0,0.867
2022-09-18,Reliance jio,0.0,0.0,0.0,1.0
2022-09-19,T - Mobile US,0.39185,0.2215,0.0,0.7785
2022-09-19,Bharti airtel limited ,0.5256,0.202,0.073,0.725
2022-09-20,Reliance jio,0.0772,0.098,0.0,0.902
2022-09-20,T - Mobile US,0.0,0.0,0.0,1.0
2022-09-21,T - Mobile US,-0.16885,0.0745,0.133,0.7925
2022-09-21,Reliance jio,-0.1531,0.16,0.199,0.641
2022-09-22,Bharti airtel limited ,-0.1779,0.156,0.206,0.638
2022-09-22,T - Mobile US,0.2263,0.16,0.0,0.84
2022-09-23,Vodafone Idea,0.05516666666666664,0.07966666666666666,0.07233333333333333,0.848
2022-09-23,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-09-27,Verizon Communications,0.0,0.0,0.0,1.0
2022-09-27,Vodafone Idea,0.0,0.0,0.0,1.0
2022-09-27,T - Mobile US,0.0,0.0,0.0,1.0
2022-09-28,Verizon Communications,0.14049999999999999,0.063,0.0,0.9369999999999999
2022-09-28,Vodafone Idea,0.0,0.0,0.0,1.0
2022-09-29,Vodafone Idea,-0.5849,0.0,0.275,0.7250000000000001
2022-09-29,Reliance jio,0.0,0.0,0.0,1.0
2022-09-30,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-09-30,Vodafone Idea,0.0,0.0,0.0,1.0
2022-10-01,Reliance jio,0.0,0.0,0.0,1.0
2022-10-02,Vodafone Idea,0.0,0.0,0.0,1.0
2022-10-03,Verizon Communications,0.4144,0.199,0.0,0.8009999999999999
2022-10-03,Reliance jio,0.6369,0.342,0.0,0.658
2022-10-04,Verizon Communications,0.24695,0.1295,0.0,0.8705
2022-10-04,T - Mobile US,0.0,0.0,0.0,1.0
2022-10-04,Reliance jio,0.36315,0.1445,0.0,0.8554999999999999
2022-10-05,Verizon Communications,0.0,0.0,0.0,1.0
2022-10-06,Vodafone Idea,0.6597,0.278,0.0,0.722
2022-10-06,Reliance jio,0.20095,0.0765,0.0,0.9235
2022-10-06,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-10-07,Vodafone Idea,0.128,0.143,0.116,0.741
2022-10-07,Verizon Communications,-0.4404,0.0,0.326,0.674
2022-10-07,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-10-09,T - Mobile US,-0.3818,0.0,0.167,0.833
2022-10-10,Verizon Communications,0.0,0.0,0.0,1.0
2022-10-10,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-10-10,Reliance jio,0.6249,0.282,0.0,0.718
2022-10-11,T - Mobile US,0.0,0.0,0.0,1.0
2022-10-11,Verizon Communications,0.3612,0.217,0.0,0.783
2022-10-11,Bharti airtel limited ,0.4019,0.197,0.0,0.803
2022-10-11,Reliance jio,0.0,0.0,0.0,1.0
2022-10-12,Bharti airtel limited ,0.1779,0.108,0.0,0.892
2022-10-12,Reliance jio,0.3062,0.1085,0.0,0.8915
2022-10-12,T - Mobile US,0.0,0.0,0.0,1.0
2022-10-13,Reliance jio,0.0,0.0,0.0,1.0
2022-10-13,Verizon Communications,0.19595,0.066,0.0,0.9339999999999999
2022-10-13,Vodafone Idea,0.4588,0.188,0.0,0.812
2022-10-14,T - Mobile US,0.0,0.0,0.0,1.0
2022-10-14,Bharti airtel limited ,0.5423,0.241,0.0,0.759
2022-10-14,Reliance jio,0.0,0.0,0.0,1.0
2022-10-15,Vodafone Idea,0.0,0.0,0.0,1.0
2022-10-15,Reliance jio,0.8225,0.291,0.0,0.709
2022-10-16,Reliance jio,0.3818,0.126,0.0,0.874
2022-10-17,Reliance jio,0.28595,0.099,0.0,0.901
2022-10-17,Verizon Communications,0.0,0.0,0.0,1.0
2022-10-17,Vodafone Idea,-0.836,0.0,0.447,0.553
2022-10-17,Bharti airtel limited ,0.1591,0.0935,0.0,0.9065
2022-10-18,T - Mobile US,0.0,0.0,0.0,1.0
2022-10-18,Verizon Communications,-0.23835,0.0,0.0905,0.9095
2022-10-19,Reliance jio,0.3021,0.1175,0.0,0.8825000000000001
2022-10-19,T - Mobile US,0.0,0.0,0.0,1.0
2022-10-19,Verizon Communications,0.0,0.0,0.0,1.0
2022-10-20,Reliance jio,0.1909,0.0575,0.0,0.9425
2022-10-20,T - Mobile US,-0.20095,0.0,0.139,0.861
2022-10-21,Verizon Communications,0.3818,0.192,0.0,0.808
2022-10-21,Reliance jio,0.44889999999999997,0.1875,0.0,0.8125
2022-10-21,Vodafone Idea,-0.3612,0.0,0.152,0.848
2022-10-22,Verizon Communications,-0.3612,0.0,0.152,0.848
2022-10-22,Vodafone Idea,0.23835,0.0855,0.0,0.9145
2022-10-22,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-10-24,Vodafone Idea,0.3182,0.168,0.087,0.745
2022-10-24,Reliance jio,0.4215,0.237,0.0,0.763
2022-10-24,Verizon Communications,0.3243,0.1855,0.0,0.8145
2022-10-25,Verizon Communications,0.296,0.167,0.0,0.833
2022-10-25,Reliance jio,0.0,0.0,0.0,1.0
2022-10-25,Vodafone Idea,0.0,0.0,0.0,1.0
2022-10-26,T - Mobile US,-0.1513,0.0,0.117,0.883
2022-10-27,Vodafone Idea,-0.4767,0.067,0.184,0.749
2022-10-27,Bharti airtel limited ,0.7579,0.385,0.0,0.615
2022-10-27,Reliance jio,0.3802,0.156,0.0,0.844
2022-10-28,Vodafone Idea,0.07014999999999999,0.1585,0.103,0.7384999999999999
2022-10-28,T - Mobile US,0.6808,0.483,0.0,0.517
2022-10-29,Bharti airtel limited ,0.3818,0.148,0.0,0.852
2022-10-29,Vodafone Idea,0.1027,0.085,0.0,0.915
2022-10-31,Reliance jio,0.6486,0.31,0.0,0.69
2022-10-31,Bharti airtel limited ,0.045725000000000016,0.08725,0.05675,0.856
2022-11-01,Vodafone Idea,0.2023,0.13,0.0,0.87
2022-11-01,T - Mobile US,0.0,0.0,0.0,1.0
2022-11-01,Bharti airtel limited ,-0.2263,0.0,0.147,0.853
2022-11-02,T - Mobile US,0.0,0.0,0.0,1.0
2022-11-02,Verizon Communications,0.0,0.0,0.0,1.0
2022-11-02,Bharti airtel limited ,0.17379999999999998,0.10949999999999999,0.0,0.8905000000000001
2022-11-03,T - Mobile US,0.6124,0.235,0.0,0.765
2022-11-03,Reliance jio,0.0,0.0,0.0,1.0
2022-11-03,Vodafone Idea,0.11013333333333332,0.10866666666666668,0.057666666666666665,0.8336666666666667
2022-11-06,Vodafone Idea,0.0,0.0,0.0,1.0
2022-11-07,T - Mobile US,0.1591,0.0865,0.0,0.9135
2022-11-07,Verizon Communications,0.0,0.0,0.0,1.0
2022-11-07,Vodafone Idea,0.3818,0.167,0.0,0.833
2022-11-07,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-11-08,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-11-08,Reliance jio,0.0,0.0,0.0,1.0
2022-11-08,Verizon Communications,0.2732,0.279,0.0,0.721
2022-11-09,Verizon Communications,0.4404,0.172,0.0,0.828
2022-11-09,Vodafone Idea,-0.148,0.0,0.0605,0.9395
2022-11-11,Reliance jio,0.0,0.0,0.0,1.0
2022-11-11,Vodafone Idea,0.0,0.0,0.0,1.0
2022-11-12,Reliance jio,0.4019,0.172,0.0,0.828
2022-11-14,T - Mobile US,0.34,0.211,0.0,0.789
2022-11-14,Verizon Communications,0.3818,0.191,0.0,0.809
2022-11-15,Bharti airtel limited ,0.0,0.0,0.0,1.0
2022-11-15,Reliance jio,0.3182,0.141,0.0,0.859
2022-11-15,Verizon Communications,0.0,0.0,0.0,1.0
2022-11-16,Bharti airtel limited ,0.296,0.18,0.0,0.82
2022-11-16,T - Mobile US,0.0,0.0,0.0,1.0
2022-11-16,Vodafone Idea,0.5106,0.171,0.0,0.829
2022-11-19,Vodafone Idea,0.0,0.0,0.0,1.0
2022-11-19,Reliance jio,0.0,0.0,0.0,1.0
2022-11-21,Bharti airtel limited ,0.296,0.128,0.0,0.872
2022-11-21,Verizon Communications,-0.4404,0.0,0.209,0.791
2022-11-22,Reliance jio,-0.46219999999999994,0.0,0.1455,0.8545
2022-11-22,Vodafone Idea,0.4215,0.167,0.0,0.833
