DATE,TITLE,SOURCE,Company,Sentiment,Positive,Negative,Neutral
2023-01-10 08:00:00,"Tata Consultancy Services Ltd Slips 2.4%, S&P BSE Tech index Shed 1.16% - Business Standard",Business Standard,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,5G Americas announces re-election of Neville Ray as Chairman - Telecom Lead,Telecom Lead,T - Mobile US,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,"India to see fluid, flexible workforce in 5G era: Vodafone Idea exec - ETTelecom",ETTelecom,Vodafone Idea,0.2263,0.128,0.0,0.872
2023-01-10 08:00:00,JioFiber plans offering upto 1Gbps internet speed and bundle OTT subscriptions: Full list of plans - India Today,India Today,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,"Sensex loses 150 points, Nifty below 18100; Tata Motors rallies 4% - Economic Times",Economic Times,Vodafone Idea,0.1027,0.159,0.135,0.706
2023-01-10 08:00:00,"Dabur, Ashok Leyland, Bharti Airtel and more: Top stock tips by Mitessh Thakkar, Sudarshan Sukhani - CNBCTV18",CNBCTV18,Bharti airtel limited ,0.2716,0.116,0.0,0.884
2023-01-10 08:00:00,iQOO 11 review: The performance-oriented trendsetter - The Indian Express,The Indian Express,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,Adani Group To Launch 5G Services And B2C Apps To Support ... - Inventiva,Inventiva,Bharti airtel limited ,0.4019,0.172,0.0,0.828
2023-01-10 08:00:00,"B2B Telecommunication Market size 2023 top companies, trend analysis, current growth, business strategy and... - WhaTech Technology and Markets News",WhaTech Technology and Markets News,Verizon Communications,0.5267,0.196,0.0,0.804
2023-01-10 08:00:00,Industry bodies for staggered data law implementation - Economic Times,Economic Times,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,Industry bodies for staggered data law implementation - Economic Times,Economic Times,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,"Ahead of Union Budget, PM Modi to hold meeting with economists, experts | Mint - Mint",Mint,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,Up to 250% jump in Q3 profit! What analysts say on Bharti Airtel shares ahead of Q3 results? - Business Today,Business Today,Bharti airtel limited ,0.6588,0.221,0.0,0.779
2023-01-10 08:00:00,Stock Market Highlights: Nifty forms bearish engulfing candle. What traders should do on Wednesday - Economic Times,Economic Times,Bharti airtel limited ,0.4019,0.144,0.0,0.856
2023-01-10 08:00:00,"Wordle 570 answer for January 10: Wordle 570 hints, clues, and answers for today - Gadgets Now",Gadgets Now,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,DoT keeping an eye on cash-strapped Vodafone Idea's 5G service rollout plans - ETTelecom,ETTelecom,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,5G Americas re-elects leadership from T-Mobile and Ericsson - TelecomTV,TelecomTV,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,DoT keeping an eye on cash-strapped Vodafone Idea's 5G service rollout plans - Economic Times,Economic Times,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,"Seattle schools sue tech giants over social media harm, Marketing ... - ETBrandEquity",ETBrandEquity,Vodafone Idea,-0.5423,0.0,0.226,0.774
2023-01-10 08:00:00,"SA20 2023: TV channels, live online streaming - Where to watch in India, Pakistan, US, UK & other countries - CricketTimes.com",CricketTimes.com,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,Amazing History and Entertainment at New Jersey's Oldest Theatre ... - wobm.com,wobm.com,Verizon Communications,0.765,0.398,0.0,0.602
2023-01-10 08:00:00,"Sensex loses 150 points, Nifty below 18100; Tata Motors rallies 4% - Economic Times",Economic Times,Bharti airtel limited ,0.1027,0.159,0.135,0.706
2023-01-10 08:00:00,Mobile Data Traffic Market Business Growth 2023 [Latest Report] by ... - Digital Journal,Digital Journal,Verizon Communications,0.3818,0.167,0.0,0.833
2023-01-10 08:00:00,Global Hydrofluoroolefin (HFO) Market 2023 Explosive Factors Of ... - Digital Journal,Digital Journal,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,"Jio 5G Launches In Andhra Pradesh, Also Becomes First Company To Float 5G-Specific Plan - Outlook India",Outlook India,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,11 major predictions for video games in 2023 - GamesHub,GamesHub,T - Mobile US,0.0,0.0,0.0,1.0
2023-01-10 08:00:00,Galaxy S23 leather cases leak ahead of announcement - SamMobile - Samsung news,SamMobile - Samsung news,T - Mobile US,-0.34,0.0,0.167,0.833
2023-01-10 08:00:00,Report reveals next T-Mobile Tuesdays freebie - TmoNews,TmoNews,T - Mobile US,0.4215,0.286,0.0,0.714
2023-01-10 07:17:55,"Golden State Warriors vs Phoenix Suns: Match Prediction, Betting ... - SportsTiger",SportsTiger,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 06:09:05,"Philadelphia 76ers vs Detroit Pistons: Match Prediction, Betting ... - SportsTiger",SportsTiger,Reliance jio,0.0,0.0,0.0,1.0
2023-01-10 06:01:29,By 2029 IoT Fleet Management Market Players to drive Merges and ... - Digital Journal,Digital Journal,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-10 00:42:16,"Verizon, P&G, JPMorgan Chase Among Brands Prioritizing DEI - Adweek",Adweek,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-09 19:33:55,2023 Bill Dies Memorial - Wrestling Event - FloWrestling,FloWrestling,T - Mobile US,0.0,0.0,0.0,1.0
2023-01-09 18:13:35,Can CSPs Speed Up 5G Monetization With a Low-Code-Based ... - The Fast Mode,The Fast Mode,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-09 17:51:20,"The Trade Desk, T-Mobile and Paramount Executives Talk ... - Variety",Variety,T - Mobile US,0.0,0.0,0.0,1.0
2023-01-09 17:38:22,Verità in Plymouth Township Acquires Ohio Telecommunications Firm - DBusiness,DBusiness,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-09 13:03:58,Siyata's Next Generation Push-to-Talk Over Cellular SD7 Device to ... - AccessWire,AccessWire,Verizon Communications,0.0,0.0,0.0,1.0
2023-01-09 13:03:58,Siyata's Next Generation Push-to-Talk Over Cellular SD7 Device to ... - AccessWire,AccessWire,T - Mobile US,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Jio Happy New Year 2023 plan: Validity, data and other benefits - Kalinga TV",Kalinga TV,Reliance jio,0.743,0.344,0.0,0.656
2023-01-09 08:00:00,Uttarakhand CM Dhami says 80 affected families in Joshimath shifted to safety - CNBCTV18,CNBCTV18,Vodafone Idea,0.296,0.171,0.098,0.732
2023-01-09 08:00:00,Nepals first Parliament session after PM Prachandas win begins today - Business Standard,Business Standard,Vodafone Idea,0.5859,0.241,0.0,0.759
2023-01-09 08:00:00,Reliance Jio's 5G network reaches 78 cities across India: Report - RCR Wireless News,RCR Wireless News,Reliance jio,0.0516,0.085,0.0,0.915
2023-01-09 08:00:00,Bharti Airtel outperforms market on strong trading day - MarketWatch,MarketWatch,Vodafone Idea,0.5106,0.268,0.0,0.732
2023-01-09 08:00:00,"Hang Seng, other Asian indices showing strength on China’s reopening and US Fed rate action - The Financial Express",The Financial Express,Vodafone Idea,0.4939,0.151,0.0,0.849
2023-01-09 08:00:00,"Top Eight Listed Firms Lose Rs 1 lakh Crore Last Week, Led By Infosys, HDFC Bank, TCS - BQ Prime",BQ Prime,Vodafone Idea,-0.2263,0.08,0.12,0.8
2023-01-09 08:00:00,Tesla driver found with inattentive full self-driving operation to face new penalty - Gadgets Now,Gadgets Now,Reliance jio,-0.4588,0.0,0.176,0.824
2023-01-09 08:00:00,Meta hires former Tata CLiQ CEO Vikas Purohit to head global business group in India | Mint - Mint,Mint,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Hindustan Copper Ltd soars 2.63%, up for third straight session - Business Standard",Business Standard,Vodafone Idea,0.2263,0.137,0.0,0.863
2023-01-09 08:00:00,Reliance Jio's 5G network reaches 78 cities across India: Report - RCR Wireless News,RCR Wireless News,Bharti airtel limited ,0.0516,0.085,0.0,0.915
2023-01-09 08:00:00,Motilal Oswal recommends 10 stocks for double-digit returns | Mint - Mint,Mint,Bharti airtel limited ,0.2263,0.147,0.0,0.853
2023-01-09 08:00:00,"CESL invites bids for 3,500 electric cars | Mint - Mint",Mint,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Introduction of 5G Networks and Technical Breakthroughs in Cloud ... - GlobeNewswire,GlobeNewswire,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Macrotech Developers - On Track To Exceed FY23 Sales Guidance: ICICI Securities - BQ Prime,BQ Prime,Bharti airtel limited ,0.296,0.136,0.0,0.864
2023-01-09 08:00:00,"Gold Price Today, 9 January: Prices rise as dollar tumbles; expectations of less-hawkish Fed fuel gold rally - The Financial Express",The Financial Express,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Stop and smell the metaverse roses: Virtual world on display at CES - HT Tech,HT Tech,Reliance jio,-0.296,0.0,0.136,0.864
2023-01-09 08:00:00,"Apple has cancelled the next iPhone SE, claims Analysts - Pricebaba Daily",Pricebaba Daily,Reliance jio,-0.25,0.0,0.154,0.846
2023-01-09 08:00:00,"Kanjhawala case: Anjali's house ransacked, some articles stolen - Economic Times",Economic Times,Bharti airtel limited ,-0.4939,0.0,0.242,0.758
2023-01-09 08:00:00,"Bulls Flash: Sensex Jumps 847 Pts, Investors Left Richer, All Eyes ... - Investing.com India",Investing.com India,Bharti airtel limited ,0.5267,0.195,0.0,0.805
2023-01-09 08:00:00,Why a balanced advantage fund makes sense in current market scenario - Economic Times,Economic Times,Bharti airtel limited ,0.25,0.133,0.0,0.867
2023-01-09 08:00:00,Brazil Protest: Bolsonaro supporters storm key government building - Moneycontrol,Moneycontrol,Reliance jio,0.2263,0.225,0.155,0.62
2023-01-09 08:00:00,"Wow! Hubble Telescope does it again, captures stunning globular star cluster - HT Tech",HT Tech,Reliance jio,0.7712,0.358,0.0,0.642
2023-01-09 08:00:00,More than $8 million has been raised to support a charity backed by NFL star Damar Hamlin as the player contin - Business Insider India,Business Insider India,Reliance jio,0.6808,0.231,0.0,0.769
2023-01-09 08:00:00,Covid situation in India is better than anywhere else: Adar Poonawalla | Mint - Mint,Mint,Bharti airtel limited ,0.4404,0.172,0.0,0.828
2023-01-09 08:00:00,Moscow-Goa chartered flight diverted to Jamnagar after Goa ATC receives bomb threat - Moneycontrol,Moneycontrol,Reliance jio,-0.765,0.0,0.355,0.645
2023-01-09 08:00:00,"Asian Paints lines up Rs 2,000-crore additional capex for new plant amid competition - Moneycontrol",Moneycontrol,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,KreditBee Closes Second Tranche of its USD 200 million Series D Fundraise - CIOL,CIOL,Reliance jio,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Apple likely to push its Mixed-Reality headset, launch 15″ MacBook Air, but no major updates for Apple Watch, iPad, AirPods in 2023 - FoneArena",FoneArena,Reliance jio,-0.4215,0.0,0.109,0.891
2023-01-09 08:00:00,"Airtel Africa acquires 4G, 5G spectrum for $316.7 million - ETTelecom",ETTelecom,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Apple starts recruitments for India retail stores - ETTelecom,ETTelecom,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Stocks in focus: Tata Steel, Paytm and more - The Economic Times",The Economic Times,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Delhi colder than Shimla, Nainital, Manali for 5th consecutive day; Here's why | Mint - Mint",Mint,Bharti airtel limited ,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Rajasthan CM inaugurates Jio True 5G in Jaipur, Jodhpur, Udaipur - Free Press Journal",Free Press Journal,Reliance jio,0.7269,0.337,0.0,0.663
2023-01-09 08:00:00,Gainers & Losers: 10 stocks that moved the most on January 9 - Moneycontrol,Moneycontrol,Vodafone Idea,-0.5267,0.0,0.207,0.793
2023-01-09 08:00:00,This company expects sales nearly equivalent to its market cap from its latest project - CNBCTV18,CNBCTV18,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Vodafone-Idea users, no the company has not yet started 5G rollout in Delhi - Times of India",Times of India,Vodafone Idea,-0.296,0.0,0.121,0.879
2023-01-09 08:00:00,POCO C50 review: Good smartphone for users to experience Android on budget - Business Standard,Business Standard,Vodafone Idea,0.4404,0.172,0.0,0.828
2023-01-09 08:00:00,HCLTech among top Nifty 50 gainers after transformation services order from ODP - CNBCTV18,CNBCTV18,Vodafone Idea,0.5423,0.273,0.0,0.727
2023-01-09 08:00:00,Vodafone Idea: A case of crossed wires and mixed signals - The Financial Express,The Financial Express,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Credit worthiness of India, others in APAC to be stable, says Moodys - Business Standard",Business Standard,Vodafone Idea,0.5859,0.27,0.0,0.73
2023-01-09 08:00:00,Ahead of Market: 10 things that will decide D-St action on Tuesday - Economic Times,Economic Times,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Best of BS Opinion: Fast forward to 2023, foreign education, and more - Business Standard",Business Standard,Vodafone Idea,0.6369,0.231,0.0,0.769
2023-01-09 08:00:00,"Airtel, Jio target 100-150 million 5G conversions by March 2024 - ETTelecom",ETTelecom,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,Vi seeks INR 70 bln emergency loans from banks - report - Telecompaper EN,Telecompaper EN,Vodafone Idea,-0.3818,0.0,0.167,0.833
2023-01-09 08:00:00,Churn and fewer 4G subscribers to slow down telecom revenue growth in Q3 - Business Insider India,Business Insider India,Vodafone Idea,0.3818,0.14,0.0,0.86
2023-01-09 08:00:00,View | It is time we had a GST ombudsman! - CNBCTV18,CNBCTV18,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Bombay HC orders release of former ICICI Bank MD & CEO Chanda Kochhar, calls arrest 'illegal' - Economic Times",Economic Times,Bharti airtel limited ,-0.7184,0.0,0.261,0.739
2023-01-09 08:00:00,Budget 2023 has to build better bridges for higher education sector - Economic Times,Economic Times,Bharti airtel limited ,0.4404,0.182,0.0,0.818
2023-01-09 08:00:00,"Apple Contractors Gave Jobs To 50,000 Indians In Last 150 Days ... - Trak.in",Trak.in,Vodafone Idea,0.0,0.0,0.0,1.0
2023-01-09 08:00:00,"Gold trading strategy: Buyers should hedge buying positions; metal likely to touch $1,900/ounce - Economic Times",Economic Times,Bharti airtel limited ,0.0,0.0,0.0,1.0
